"","time","proportionDisseminated","mainRun"
"11874",2.9,0.206896551724138," 85"
"11875",3,0.206896551724138," 85"
"11876",3.1,0.206896551724138," 85"
"11877",3.2,0.241379310344828," 85"
"11878",3.3,0.241379310344828," 85"
"11879",3.4,0.241379310344828," 85"
"11880",3.5,0.241379310344828," 85"
"11881",3.6,0.275862068965517," 85"
"11882",3.7,0.275862068965517," 85"
"11883",3.8,0.275862068965517," 85"
"11884",3.9,0.275862068965517," 85"
"11885",4,0.275862068965517," 85"
"11886",4.1,0.275862068965517," 85"
"11887",4.2,0.275862068965517," 85"
"11888",4.3,0.275862068965517," 85"
"11889",4.4,0.275862068965517," 85"
"11890",4.5,0.275862068965517," 85"
"11891",4.6,0.275862068965517," 85"
"11892",4.7,0.275862068965517," 85"
"11893",4.8,0.275862068965517," 85"
"11894",4.9,0.275862068965517," 85"
"11895",5,0.275862068965517," 85"
"11896",5.1,0.275862068965517," 85"
"11897",5.2,0.275862068965517," 85"
"11898",5.3,0.310344827586207," 85"
"11899",5.4,0.310344827586207," 85"
"11900",5.5,0.310344827586207," 85"
"11901",5.6,0.310344827586207," 85"
"11902",5.7,0.310344827586207," 85"
"11903",5.8,0.310344827586207," 85"
"11904",5.9,0.344827586206897," 85"
"11905",6,0.344827586206897," 85"
"11906",6.1,0.413793103448276," 85"
"11907",6.2,0.413793103448276," 85"
"11908",6.3,0.413793103448276," 85"
"11909",6.4,0.413793103448276," 85"
"11910",6.5,0.413793103448276," 85"
"11911",6.6,0.413793103448276," 85"
"11912",6.7,0.413793103448276," 85"
"11913",6.8,0.413793103448276," 85"
"11914",6.9,0.448275862068966," 85"
"11915",7,0.448275862068966," 85"
"11916",7.1,0.448275862068966," 85"
"11917",7.2,0.448275862068966," 85"
"11918",7.3,0.482758620689655," 85"
"11919",7.4,0.482758620689655," 85"
"11920",7.5,0.482758620689655," 85"
"11921",7.6,0.482758620689655," 85"
"11922",7.7,0.482758620689655," 85"
"11923",7.8,0.482758620689655," 85"
"11924",7.9,0.482758620689655," 85"
"11925",8,0.482758620689655," 85"
"11926",8.1,0.482758620689655," 85"
"11927",8.2,0.482758620689655," 85"
"11928",8.3,0.482758620689655," 85"
"11929",8.4,0.482758620689655," 85"
"11930",8.5,0.482758620689655," 85"
"11931",8.6,0.482758620689655," 85"
"11932",8.7,0.482758620689655," 85"
"11933",8.8,0.482758620689655," 85"
"11934",8.9,0.482758620689655," 85"
"11935",9,0.482758620689655," 85"
"11936",9.1,0.482758620689655," 85"
"11937",9.2,0.482758620689655," 85"
"11938",9.3,0.482758620689655," 85"
"11939",9.4,0.482758620689655," 85"
"11940",9.5,0.482758620689655," 85"
"11941",9.6,0.517241379310345," 85"
"11942",9.7,0.517241379310345," 85"
"11943",9.8,0.517241379310345," 85"
"11944",9.9,0.517241379310345," 85"
"11945",10,0.517241379310345," 85"
"11946",10.1,0.517241379310345," 85"
"11947",10.2,0.517241379310345," 85"
"11948",10.3,0.517241379310345," 85"
"11949",10.4,0.517241379310345," 85"
"11950",10.5,0.551724137931034," 85"
"11951",10.6,0.551724137931034," 85"
"11952",10.7,0.551724137931034," 85"
"11953",10.8,0.551724137931034," 85"
"11954",10.9,0.586206896551724," 85"
"11955",11,0.586206896551724," 85"
"11956",11.1,0.586206896551724," 85"
"11957",11.2,0.586206896551724," 85"
"11958",11.3,0.620689655172414," 85"
"11959",11.4,0.620689655172414," 85"
"11960",11.5,0.620689655172414," 85"
"11961",11.6,0.620689655172414," 85"
"11962",11.7,0.620689655172414," 85"
"11963",11.8,0.655172413793103," 85"
"11964",11.9,0.655172413793103," 85"
"11965",12,0.655172413793103," 85"
"11966",12.1,0.655172413793103," 85"
"11967",12.2,0.655172413793103," 85"
"11968",12.3,0.655172413793103," 85"
"11969",12.4,0.655172413793103," 85"
"11970",12.5,0.655172413793103," 85"
"11971",12.6,0.655172413793103," 85"
"11972",12.7,0.655172413793103," 85"
"11973",12.8,0.655172413793103," 85"
"11974",12.9,0.655172413793103," 85"
"11975",13,0.655172413793103," 85"
"11976",13.1,0.655172413793103," 85"
"11977",13.2,0.655172413793103," 85"
"11978",13.3,0.655172413793103," 85"
"11979",13.4,0.655172413793103," 85"
"11980",13.5,0.655172413793103," 85"
"11981",13.6,0.655172413793103," 85"
"11982",13.7,0.655172413793103," 85"
"11983",13.8,0.655172413793103," 85"
"11984",13.9,0.655172413793103," 85"
"11985",14,0.655172413793103," 85"
"11986",0,0," 86"
